feature,importance
Morning_Anxiety_Score,806007.7429415584
Evening_Anxiety_Score,332093.9363960605
Daily_Anxiety_Score_roll_mean3,57705.16675439477
Major_Stress_Event_Today,55197.15644443035
Anxiety_Diurnal_Ratio,11557.48080314044
Daily_Anxiety_Score_lag1,4140.019454985857
Restlessness_Score,4067.5214650183916
Perceived_Stress_Score,3524.5322810709476
Irritability_Score,2117.7019537091255
Daily_Anxiety_Score_roll_mean7,808.3957174792886
Stress_x_Craving_Peak,797.9392283596098
Sleep_Quality_Score,708.3451310843229
Daily_Anxiety_Score_lag2,473.89073836803436
Caffeine_Intake_mg,445.30063340999186
Mood_Score,389.4619520492852
Daily_Anxiety_Score_roll_std3,365.708610907197
Overall_Craving_Score_roll_std3,322.53807830810547
Overall_Craving_Score_roll_std7,316.2325904369354
Daily_Anxiety_Score_lag3,276.80354418605566
Screen_Time_Hours,261.6754152616486
Work_Or_Study_Hours,255.03881035745144
Social_Interaction_Hours,254.57205037772655
Sleep_Composite,247.6289946064353
Time_Since_Last_Pouch_Minutes,240.79399905726314
Longest_Nicotine_Free_Period_Hours,237.771759390831
