feature,importance
Evening_Cravings_Score,600051.1339557339
Afternoon_Cravings_Score,208535.77269758238
Morning_Cravings_Score,73150.61172575504
Major_Stress_Event_Today,21325.501228362322
Craving_Intensity_Peak,11101.858722381294
Craving_Duration_Minutes,5381.14072554186
Attempted_To_Resist_Craving,769.2294971272349
Craving_Diurnal_Ratio,725.539437957108
Stress_x_Craving_Peak,640.1596309365705
Restlessness_Score,348.92246365966275
Overall_Craving_Score_roll_mean3,328.03001507371664
Perceived_Stress_Score,306.74595586024225
Overall_Craving_Score_lag1,230.43747635930777
Time_Since_Last_Pouch_Minutes,174.3709583990276
Sleep_Composite,165.36639645695686
Overall_Craving_Score_roll_std3,161.59751103119925
Overall_Craving_Score_roll_std7,159.5844457373023
Work_Or_Study_Hours,158.25044158101082
Daily_Anxiety_Score_roll_std3,151.73723135516047
Daily_Anxiety_Score_roll_std7,136.29880207777023
Anxiety_Diurnal_Ratio,135.493915989995
Caffeine_Intake_mg,132.0969438701868
Exercise_Minutes,116.67153848707676
Overall_Craving_Score_roll_mean7,114.67284156754613
Daily_Anxiety_Score_roll_mean7,111.86245884001255
