Model,Split,MAE,RMSE,MAPE,R2
LightGBM,Test,0.3315,0.4216,296376251019461.6,0.9546
XGBoost,Test,0.3307,0.4218,283359688890785.7,0.9545
GradientBoosting,Test,0.331,0.4221,272599530374037.5,0.9545
HistGradientBoosting,Test,0.3322,0.423,299860353224160.75,0.9543
Ridge,Test,0.3308,0.4257,348767727609229.94,0.9537
ElasticNet,Test,0.3312,0.4259,356776361095469.1,0.9536
Lasso,Test,0.3325,0.4276,368332156756716.06,0.9533
RandomForest,Test,0.339,0.4309,301949762394518.8,0.9525
LSTM,Test,0.425,0.5384,514352613215448.06,0.9259
Persistence Baseline,Test,0.8736,1.1237,261208778387510.06,0.6773
