Model,Split,MAE,RMSE,MAPE,R2
XGBoost,Test,0.235,0.3022,90047169204585.58,0.968
GradientBoosting,Test,0.2362,0.3036,86988131025052.77,0.9677
HistGradientBoosting,Test,0.2367,0.3043,99531457817599.55,0.9676
LightGBM,Test,0.2359,0.3045,98692906847062.5,0.9675
RandomForest,Test,0.2379,0.307,73504522221400.25,0.967
Ridge,Test,0.2566,0.3272,14171786529501.867,0.9625
ElasticNet,Test,0.2567,0.3275,23790624509474.03,0.9624
Lasso,Test,0.2567,0.3281,23824432608621.71,0.9623
LSTM,Test,0.3072,0.391,123541815782540.88,0.9464
Persistence Baseline,Test,0.7019,0.8991,109621086264609.3,0.7167
